"ActivityDateTime","ActivityDisplayName","EventId","InitiatedBy","Category","CorrelationId","LoggedByService","OperationType","Result","TargetId","TargetDisplayName","TargetType","TargetUPN","ModifiedProperty","OldValue","NewValue","AdditionalDetails","UserAgent"
"2026-08-04T10:55:14.9337249Z","Read BitLocker key","Device Registration Service_11bbfd59-781c-490c-8fc5-3983c3058105_P4NKX_40443400",,"KeyManagement","11bbfd59-781c-490c-8fc5-3983c3058105","Device Registration Service","Get","success","ff9a3754-4eee-4752-b945-8613b1e54a49",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'ff9a3754-4eee-4752-b945-8613b1e54a49'. Backed up from device: 'bc7374e3-f031-4efa-95c8-64485e11cc7c'; Device Id: bc7374e3-f031-4efa-95c8-64485e11cc7c","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:14.6735306Z","Read BitLocker key","Device Registration Service_374e251f-ac79-4f8b-b4b3-54110f4e547c_WDQXD_6653264",,"KeyManagement","374e251f-ac79-4f8b-b4b3-54110f4e547c","Device Registration Service","Get","success","2432df43-808b-4c5c-a0ae-7920df708367",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '2432df43-808b-4c5c-a0ae-7920df708367'. Backed up from device: '34edd6b9-1fb6-460d-a178-29d5e3d3c040'; Device Id: 34edd6b9-1fb6-460d-a178-29d5e3d3c040","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:14.4395154Z","Read BitLocker key","Device Registration Service_98d353b3-cae8-48f7-a1c0-4d08c7935bc6_PR5D1_5883507",,"KeyManagement","98d353b3-cae8-48f7-a1c0-4d08c7935bc6","Device Registration Service","Get","success","58f8f2b2-79d3-439f-bc3f-e870d07a4b97",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '58f8f2b2-79d3-439f-bc3f-e870d07a4b97'. Backed up from device: '96b5d6dc-e36d-480c-9d95-ea47db6fb789'; Device Id: 96b5d6dc-e36d-480c-9d95-ea47db6fb789","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:14.1947658Z","Read BitLocker key","Device Registration Service_c44dba2f-f4b8-47d6-8fbf-2f10b8d167c6_BTYSJ_3409231",,"KeyManagement","c44dba2f-f4b8-47d6-8fbf-2f10b8d167c6","Device Registration Service","Get","success","d3dc74bc-422b-426b-bea2-ed74e2ffd741",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'd3dc74bc-422b-426b-bea2-ed74e2ffd741'. Backed up from device: '82431570-166a-488b-9fd7-55205e82ffda'; Device Id: 82431570-166a-488b-9fd7-55205e82ffda","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:14.0637732Z","Read BitLocker key","Device Registration Service_4da1c487-8b2d-46ce-914e-8323eb9b2430_ZWLZ8_58146033",,"KeyManagement","4da1c487-8b2d-46ce-914e-8323eb9b2430","Device Registration Service","Get","success","e63f02fc-309b-4c7d-9c17-8f3a19c6fe66",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'e63f02fc-309b-4c7d-9c17-8f3a19c6fe66'. Backed up from device: '86d0fcd4-31eb-42da-883d-2f16d1ad72e1'; Device Id: 86d0fcd4-31eb-42da-883d-2f16d1ad72e1","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:13.9422014Z","Read BitLocker key","Device Registration Service_77db66ac-7e90-4842-b923-be71ab230f25_P4NKX_40443032",,"KeyManagement","77db66ac-7e90-4842-b923-be71ab230f25","Device Registration Service","Get","success","03e2b1bc-0307-49d3-a3a7-3c2416c3f310",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '03e2b1bc-0307-49d3-a3a7-3c2416c3f310'. Backed up from device: 'c5bbc98f-6bfa-4d59-bacf-590f3b1f1fdb'; Device Id: c5bbc98f-6bfa-4d59-bacf-590f3b1f1fdb","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:13.8215828Z","Read BitLocker key","Device Registration Service_ead08880-41d8-4e93-9cb7-02a74f984219_0VQEO_35793486",,"KeyManagement","ead08880-41d8-4e93-9cb7-02a74f984219","Device Registration Service","Get","success","7b320a7a-dceb-4b12-bba3-80779be3ba73",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '7b320a7a-dceb-4b12-bba3-80779be3ba73'. Backed up from device: '14e8ee8f-6a5b-4e66-93fd-16c8c8aac4a7'; Device Id: 14e8ee8f-6a5b-4e66-93fd-16c8c8aac4a7","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:13.5972927Z","Read BitLocker key","Device Registration Service_de8bdb99-6c85-40e7-9c34-3bc908834b03_LPJRL_61154714",,"KeyManagement","de8bdb99-6c85-40e7-9c34-3bc908834b03","Device Registration Service","Get","success","a4763919-eb31-4574-83b5-35d32bbc2ac4",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'a4763919-eb31-4574-83b5-35d32bbc2ac4'. Backed up from device: 'c17fc314-1bae-4d6d-b0cc-c23bb7f0bb0e'; Device Id: c17fc314-1bae-4d6d-b0cc-c23bb7f0bb0e","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:13.4413411Z","Read BitLocker key","Device Registration Service_cbafe9d4-ebe4-4fa8-8410-c91a96618ef1_G2MPP_44387276",,"KeyManagement","cbafe9d4-ebe4-4fa8-8410-c91a96618ef1","Device Registration Service","Get","success","b30de63a-1a46-4cc3-9388-b4ba64ae1efb",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'b30de63a-1a46-4cc3-9388-b4ba64ae1efb'. Backed up from device: '55116a18-c30c-477c-ad9f-808d8e6b6e00'; Device Id: 55116a18-c30c-477c-ad9f-808d8e6b6e00","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:13.1898009Z","Read BitLocker key","Device Registration Service_668d9357-afeb-41d9-908c-1441fe4ab79b_DP4XE_2311365",,"KeyManagement","668d9357-afeb-41d9-908c-1441fe4ab79b","Device Registration Service","Get","success","42132a61-91d6-4400-b3fa-9773104d4b37",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '42132a61-91d6-4400-b3fa-9773104d4b37'. Backed up from device: '9b9d67cc-fa7a-44f1-9eda-41950ade8146'; Device Id: 9b9d67cc-fa7a-44f1-9eda-41950ade8146","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T10:55:12.5330181Z","Read BitLocker key","Device Registration Service_b6d36278-13e3-4a27-8626-6fbf9a1296a7_1HB7J_17506258",,"KeyManagement","b6d36278-13e3-4a27-8626-6fbf9a1296a7","Device Registration Service","Get","success","10e2947d-56e4-4893-8e08-e24de221ea7f",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '10e2947d-56e4-4893-8e08-e24de221ea7f'. Backed up from device: '24875a62-9e34-4805-ae0c-f38c5b7ef689'; Device Id: 24875a62-9e34-4805-ae0c-f38c5b7ef689","NONISV|AFITechnologies|AFIBackup/5.0"
